,ACC,Localization,Cell wall & surface,Extracellular,Cytoplasmic,Cytoplasmic Membrane,Outer Membrane,Periplasmic
5863,G6AFF1,Periplasmic,0.0012,0.1301,0.0040,0.0002,0.0291,0.8354
5864,A0A134BT64,Periplasmic,0.0026,0.4587,0.0049,0.0010,0.0643,0.4685
5865,A0A353A2K4,Periplasmic,0.0034,0.3955,0.0564,0.0023,0.0389,0.5035
5866,A0A2V1INP9,Periplasmic,0.0008,0.2763,0.0540,0.0016,0.0763,0.5909
5867,E6KAQ3,Periplasmic,0.0007,0.2847,0.0611,0.0004,0.0473,0.6058
5868,A0A096B0D0,Extracellular,0.0056,0.3923,0.0104,0.0008,0.2305,0.3603
5869,D1PV47,Periplasmic,0.0012,0.1920,0.0033,0.0007,0.0171,0.7858
5870,A0A354HXS7,Extracellular,0.0032,0.4156,0.0476,0.0015,0.1322,0.3999
5871,A0A239RJV4,Periplasmic,0.0003,0.1363,0.0028,0.0002,0.0312,0.8292
5872,C9LFR9,Periplasmic,0.0032,0.2924,0.0267,0.0044,0.0627,0.6107
5873,R5Q3M4,Periplasmic,0.0020,0.2444,0.0107,0.0006,0.1354,0.6069
5874,G5GA54,Periplasmic,0.0055,0.3147,0.0266,0.0024,0.0629,0.5879
5875,R5AS40,Periplasmic,0.0019,0.2935,0.0168,0.0019,0.1722,0.5138
5876,R7EWL6,Periplasmic,0.0010,0.1653,0.0263,0.0013,0.0414,0.7648
5877,D3IAG7,Periplasmic,0.0086,0.2147,0.0083,0.0018,0.1159,0.6507
5878,R5B9Z3,Periplasmic,0.0008,0.3090,0.0078,0.0010,0.0683,0.6131
5879,R5PUK9,Periplasmic,0.0011,0.2164,0.0041,0.0007,0.0365,0.7411
5880,R7AFU4,Periplasmic,0.0014,0.0486,0.0282,0.0018,0.0093,0.9106
5881,D1VX34,Periplasmic,0.0014,0.2204,0.0243,0.0009,0.0176,0.7354
5882,A0A174N3Z2,Periplasmic,0.0018,0.1473,0.0092,0.0009,0.0125,0.8284
5883,A0A095ZCD5,Periplasmic,0.0006,0.2600,0.0114,0.0006,0.0333,0.6941
5884,A0A355Z752,Periplasmic,0.0004,0.1650,0.0101,0.0007,0.0407,0.7831
5885,D1QUJ4,Periplasmic,0.0033,0.4482,0.0052,0.0010,0.0681,0.4742
5886,E6MM31,Periplasmic,0.0008,0.2605,0.0067,0.0007,0.0451,0.6862
5887,A0A316MKK0,Extracellular,0.0012,0.4713,0.0075,0.0009,0.0980,0.4211
5888,R5V6G0,Periplasmic,0.0008,0.1270,0.0217,0.0011,0.0093,0.8400
5889,J9GRA2,Periplasmic,0.0011,0.0506,0.0697,0.0263,0.0102,0.8421
5890,A0A0F5IJ43,Periplasmic,0.0019,0.1003,0.0158,0.0016,0.0155,0.8648
5891,R6X711,Periplasmic,0.0008,0.0557,0.0172,0.0022,0.0067,0.9174
5892,D1K0J3,Periplasmic,0.0026,0.0664,0.0728,0.0259,0.0187,0.8136
5893,A0A3D3MTN8,Periplasmic,0.0029,0.0760,0.1434,0.0044,0.0428,0.7306
5894,A0A1B2N9K7,Periplasmic,0.0001,0.0198,0.3307,0.0011,0.0077,0.6405
5895,A0A0F5ISS4,Periplasmic,0.0014,0.1565,0.2455,0.0033,0.0287,0.5646
5896,A0A1U7LG22,Periplasmic,0.0038,0.1361,0.0585,0.0015,0.0800,0.7200
5897,A0A0R0DBK5,Periplasmic,0.0000,0.0095,0.3770,0.0006,0.0032,0.6097
5898,E6K825,Periplasmic,0.0021,0.1258,0.1207,0.0031,0.0282,0.7201
5899,E6MN38,Periplasmic,0.0058,0.2279,0.1286,0.0027,0.0503,0.5847
5900,F9Z5G1,Periplasmic,0.0011,0.0578,0.0802,0.0009,0.0138,0.8463
5901,F3QV91,Periplasmic,0.0008,0.0687,0.0370,0.0004,0.0134,0.8797
5902,A0A1Q6ERB5,Periplasmic,0.0028,0.1748,0.2114,0.0053,0.0752,0.5304
5903,F8N9Y5,Periplasmic,0.0007,0.0640,0.1317,0.0013,0.0150,0.7873
5904,A3D0P7,Periplasmic,0.0002,0.0099,0.1153,0.0005,0.0128,0.8613
5905,A0A3D2N9D7,Periplasmic,0.0012,0.1807,0.0974,0.0008,0.0233,0.6966
5906,F8WVN5,Periplasmic,0.0084,0.0731,0.1767,0.0085,0.0632,0.6700
5907,R6EBM0,Periplasmic,0.0126,0.2400,0.2577,0.0028,0.0242,0.4627
5908,Q6F3I7,Cytoplasmic,0.0002,0.0104,0.5034,0.0021,0.0099,0.4741
5909,G1VAV4,Periplasmic,0.0031,0.1201,0.1363,0.0029,0.0410,0.6966
5910,A0A1C2BRB2,Periplasmic,0.0017,0.0416,0.1125,0.0018,0.0233,0.8191
5911,D1QQ05,Periplasmic,0.0040,0.1347,0.1106,0.0020,0.0342,0.7145
5912,A0A069CZA8,Periplasmic,0.0154,0.1828,0.2096,0.0099,0.0846,0.4977
5913,A0A174XB73,Periplasmic,0.0016,0.0985,0.1174,0.0018,0.0270,0.7538
5914,A0A133PXJ1,Periplasmic,0.0028,0.1127,0.1354,0.0022,0.0164,0.7305
5915,A0A3D1D1R3,Periplasmic,0.0039,0.1047,0.1110,0.0045,0.0387,0.7371
5916,C9MLG5,Periplasmic,0.0075,0.1761,0.1651,0.0089,0.0584,0.5839
5917,C9LFB5,Periplasmic,0.0041,0.0953,0.0715,0.0054,0.0250,0.7987
5918,D9RVR9,Periplasmic,0.0034,0.0756,0.1531,0.0038,0.0441,0.7200
5919,U2NPJ6,Periplasmic,0.0011,0.0665,0.2049,0.0030,0.0254,0.6992
5920,G1W8D6,Periplasmic,0.0068,0.1230,0.2003,0.0049,0.0481,0.6169
5921,R5NYE1,Periplasmic,0.0009,0.0535,0.1113,0.0013,0.0330,0.8000
5922,A0A374WGE4,Periplasmic,0.0040,0.1335,0.0966,0.0092,0.0678,0.6889
5923,A0A1D3UJB1,Periplasmic,0.0027,0.1113,0.3311,0.0054,0.0504,0.4990
5924,A0A3C1E6Y6,Periplasmic,0.0022,0.1299,0.1123,0.0022,0.0177,0.7357
5925,R5FDE1,Periplasmic,0.0006,0.0981,0.1459,0.0021,0.0143,0.7390
5926,E7RNL2,Periplasmic,0.0019,0.1165,0.1775,0.0047,0.0303,0.6693
5927,A0A137SQZ9,Periplasmic,0.0181,0.2279,0.1273,0.0066,0.0877,0.5324
5928,H1DFN9,Periplasmic,0.0020,0.0886,0.0861,0.0016,0.0190,0.8028
5929,G6AFZ9,Periplasmic,0.0041,0.1034,0.2058,0.0072,0.0369,0.6425
5930,A0A095ZT18,Periplasmic,0.0177,0.2664,0.1116,0.0111,0.0815,0.5117
5931,R7LIN0,Periplasmic,0.0023,0.0527,0.0416,0.0026,0.0159,0.8849
5932,A0A132GWS9,Periplasmic,0.0049,0.1374,0.0819,0.0024,0.0452,0.7282
5933,A0A1Y4CFE1,Periplasmic,0.0031,0.1876,0.0583,0.0009,0.1364,0.6136
5934,A0A134BZ37,Periplasmic,0.0073,0.1891,0.1190,0.0063,0.0602,0.6181
5935,A0A1Y4DAN5,Periplasmic,0.0106,0.1649,0.1649,0.0038,0.0414,0.6144
5936,A0A380AAC3,Periplasmic,0.0002,0.0248,0.1260,0.0002,0.0132,0.8356
5937,R7DKU5,Periplasmic,0.0018,0.0973,0.1295,0.0021,0.0273,0.7420
5938,A0A0Q4DWF9,Periplasmic,0.0005,0.0177,0.4705,0.0015,0.0208,0.4890
5939,A0A134BB62,Periplasmic,0.0035,0.1137,0.1841,0.0035,0.0304,0.6647
5940,S0GNZ3,Periplasmic,0.0025,0.1026,0.0534,0.0014,0.0286,0.8114
5941,R5Y5Y9,Periplasmic,0.0018,0.2003,0.2508,0.0029,0.0134,0.5309
5942,A0A1E3LTH2,Periplasmic,0.0002,0.0109,0.3039,0.0009,0.0199,0.6642
5943,A0A2L2WV89,Periplasmic,0.0035,0.0695,0.0847,0.0053,0.0219,0.8151
5944,C3JC57,Periplasmic,0.0155,0.3446,0.1120,0.0071,0.0236,0.4971
5945,A0A0B4CK05,Periplasmic,0.0039,0.0440,0.0302,0.0083,0.0997,0.8139
5946,A0A3D1D897,Periplasmic,0.0126,0.1106,0.0726,0.0111,0.1157,0.6773
5947,A0A160THV4,Periplasmic,0.0002,0.0128,0.2641,0.0004,0.0220,0.7005
5948,I8XX95,Periplasmic,0.0088,0.1324,0.1102,0.0042,0.0381,0.7063
5949,A0A2T4TQ72,Periplasmic,0.0016,0.1077,0.1845,0.0022,0.0162,0.6877
5950,F0HAH3,Periplasmic,0.0028,0.0799,0.1819,0.0025,0.0341,0.6988
5951,A0A2S7I7B6,Periplasmic,0.0039,0.0430,0.0686,0.0049,0.2505,0.6292
5952,A0A354WUW7,Periplasmic,0.0039,0.0679,0.1089,0.0024,0.0676,0.7493
5953,R6A0B8,Periplasmic,0.0010,0.0536,0.0451,0.0023,0.0132,0.8847
5954,A0A3C1UFK9,Periplasmic,0.0012,0.0688,0.1153,0.0018,0.0173,0.7957
5955,G5GCF6,Periplasmic,0.0019,0.1408,0.0731,0.0035,0.0199,0.7608
5956,A0A255THX8,Periplasmic,0.0048,0.1578,0.1359,0.0039,0.0366,0.6612
5957,A0A1Y2QK84,Periplasmic,0.0002,0.0086,0.1906,0.0003,0.0149,0.7853
5958,A0A0F5JHK3,Periplasmic,0.0038,0.1008,0.1154,0.0041,0.0278,0.7481
5959,A0A1F1E231,Periplasmic,0.0012,0.1942,0.1024,0.0013,0.0415,0.6594
5960,R5GJS9,Periplasmic,0.0018,0.1436,0.1347,0.0052,0.0512,0.6636
5961,F9DCV4,Periplasmic,0.0054,0.0905,0.1507,0.0038,0.0567,0.6929
5962,G6AXS2,Periplasmic,0.0097,0.1435,0.1060,0.0056,0.1944,0.5407
5963,J9G5F1,Periplasmic,0.0068,0.0837,0.0912,0.0037,0.0433,0.7715
5964,A0A096AAT1,Periplasmic,0.0024,0.1804,0.0577,0.0053,0.0507,0.7036
5965,D1PSY1,Periplasmic,0.0098,0.3609,0.0861,0.0028,0.0386,0.5018
5966,A0A255SEQ1,Periplasmic,0.0028,0.1291,0.1528,0.0020,0.0199,0.6934
5967,R5CUI7,Periplasmic,0.0042,0.1211,0.0634,0.0044,0.0431,0.7639
5968,C2MBZ1,Cytoplasmic,0.0378,0.3002,0.3611,0.0090,0.0091,0.2828
5969,A0A2R3MSG6,Periplasmic,0.0025,0.2488,0.0499,0.0012,0.0199,0.6778
5970,A0A2D3LMW3,Periplasmic,0.0047,0.0626,0.1332,0.0027,0.0474,0.7494
5971,R5C4C6,Periplasmic,0.0051,0.1093,0.0488,0.0024,0.0263,0.8080
5972,A0A1M5DBY9,Periplasmic,0.0032,0.1671,0.0432,0.0015,0.0275,0.7574
5973,R6SIK0,Periplasmic,0.0047,0.0465,0.2324,0.0057,0.0410,0.6697
5974,R5KVJ2,Periplasmic,0.0060,0.2144,0.0762,0.0041,0.0276,0.6717
5975,A0A2A4HWG9,Periplasmic,0.0002,0.0185,0.4525,0.0031,0.0108,0.5150
5976,R7DWS0,Periplasmic,0.0066,0.0906,0.0695,0.0025,0.0309,0.7998
5977,A0A250FDB8,Periplasmic,0.0170,0.1088,0.1673,0.0062,0.0652,0.6355
5978,A0A316R9Z1,Periplasmic,0.0024,0.0439,0.0848,0.0027,0.1996,0.6666
5979,R7P7W5,Periplasmic,0.0004,0.0483,0.0195,0.0007,0.0058,0.9253
5980,A0A1M6AJQ9,Periplasmic,0.0064,0.0420,0.1439,0.0044,0.0315,0.7718
5981,J9FH44,Periplasmic,0.0023,0.0515,0.0961,0.0015,0.0081,0.8405
5982,D3IE08,Periplasmic,0.0117,0.3525,0.0914,0.0061,0.0863,0.4521
5983,A0A246EME9,Periplasmic,0.0063,0.1073,0.1305,0.0037,0.0813,0.6709
5984,A0A374VET2,Periplasmic,0.0045,0.1330,0.0994,0.0035,0.0194,0.7402
5985,R5JP54,Periplasmic,0.0056,0.1400,0.0833,0.0027,0.0349,0.7334
5986,K9E1Z0,Periplasmic,0.0030,0.0800,0.1016,0.0021,0.0290,0.7842
5987,L1MIQ6,Periplasmic,0.0020,0.0489,0.2214,0.0065,0.0196,0.7015
5988,A0A3D8HIA6,Periplasmic,0.0017,0.1090,0.0709,0.0016,0.0236,0.7932
5989,R5PER0,Periplasmic,0.0027,0.1544,0.0932,0.0037,0.1244,0.6216
5990,R6FJ57,Periplasmic,0.0064,0.1096,0.0244,0.0030,0.0381,0.8186
5991,R5SI34,Periplasmic,0.0069,0.2125,0.1492,0.0080,0.1073,0.5163
5992,R6TYK9,Periplasmic,0.0017,0.0626,0.0443,0.0024,0.0700,0.8190
5993,R5DHG6,Periplasmic,0.0041,0.1176,0.1212,0.0033,0.0456,0.7081
5994,A0A239XXU6,Periplasmic,0.0161,0.0804,0.0274,0.0180,0.3442,0.5140
5995,A0A1I5EDS7,Outer Membrane,0.0177,0.0607,0.0313,0.0063,0.6015,0.2825
5996,A0A1Y4HZR2,Periplasmic,0.0019,0.2175,0.0786,0.0019,0.0133,0.6867
5997,A0A0Q5UXC8,Periplasmic,0.0131,0.0466,0.0137,0.0204,0.1882,0.7180
5998,A0A069IU25,Periplasmic,0.0003,0.0136,0.3524,0.0024,0.0073,0.6241
5999,B3C948,Periplasmic,0.0029,0.1548,0.0482,0.0032,0.0226,0.7684
6000,J6IK11,Periplasmic,0.0143,0.1211,0.0646,0.0220,0.1507,0.6273
6001,R5IIT1,Periplasmic,0.0071,0.0893,0.1491,0.0023,0.0435,0.7086
6002,U6R7R1,Periplasmic,0.0030,0.1268,0.0933,0.0022,0.0302,0.7445
6003,A0A0Q6AE07,Periplasmic,0.0003,0.0248,0.2932,0.0009,0.0233,0.6576
6004,A0A1M3E096,Periplasmic,0.0052,0.0518,0.1125,0.0158,0.0853,0.7295
6005,Q7MUW6,Periplasmic,0.0014,0.1151,0.1674,0.0031,0.0170,0.6961
6006,R5BET1,Periplasmic,0.0026,0.1705,0.1180,0.0041,0.1562,0.5487
6007,A0A084ELB0,Periplasmic,0.0003,0.0209,0.2758,0.0009,0.0146,0.6874
6008,F3PU22,Periplasmic,0.0012,0.1033,0.0562,0.0003,0.0097,0.8293
6009,K5DD45,Periplasmic,0.0066,0.1993,0.0644,0.0037,0.0518,0.6741
6010,A0A2L2WM00,Periplasmic,0.0005,0.0640,0.0577,0.0008,0.0144,0.8626
6011,A0A1C5SZK0,Periplasmic,0.0150,0.1780,0.1156,0.0090,0.1533,0.5292
6012,A0A078QXB4,Periplasmic,0.0032,0.1432,0.0650,0.0022,0.0348,0.7517
6013,A0A374CFX1,Periplasmic,0.0010,0.2177,0.0698,0.0009,0.0502,0.6604
6014,A0A3E4SH95,Periplasmic,0.0019,0.2271,0.0659,0.0014,0.0705,0.6331
6015,A0A3D6B7H7,Cytoplasmic,0.0141,0.3179,0.3204,0.0027,0.1315,0.2134
6016,R6DJN0,Periplasmic,0.0014,0.0495,0.0276,0.0016,0.0524,0.8675
6017,R6XNS2,Periplasmic,0.0014,0.1013,0.0905,0.0011,0.0426,0.7630
6018,R5V826,Periplasmic,0.0126,0.1390,0.1821,0.0148,0.0611,0.5904
6019,F0R5R9,Periplasmic,0.0036,0.0884,0.1166,0.0061,0.0450,0.7403
6020,R5UXP3,Periplasmic,0.0039,0.0673,0.0739,0.0036,0.0338,0.8176
6021,A0A351AR88,Periplasmic,0.0042,0.2327,0.1447,0.0056,0.1047,0.5081
6022,R5TW51,Periplasmic,0.0043,0.1264,0.1433,0.0105,0.0518,0.6636
6023,R6ZN53,Periplasmic,0.0040,0.0875,0.1203,0.0037,0.0296,0.7549
6024,R6DFW2,Periplasmic,0.0028,0.1064,0.0461,0.0019,0.0281,0.8147
6025,R7AWU2,Periplasmic,0.0121,0.0616,0.1851,0.0064,0.0668,0.6679
6026,R7JNW3,Periplasmic,0.0033,0.0628,0.3553,0.0030,0.0128,0.5628
6027,R5RVL0,Periplasmic,0.0014,0.1241,0.0547,0.0005,0.1117,0.7076
6028,R6SXB7,Periplasmic,0.0010,0.0498,0.0576,0.0012,0.0940,0.7965
6029,R6X5J4,Periplasmic,0.0075,0.0512,0.0613,0.0030,0.3229,0.5541
6030,R6ECE7,Periplasmic,0.0016,0.0292,0.0318,0.0009,0.1866,0.7500
6031,A0A351NFV1,Extracellular,0.0047,0.4225,0.0959,0.0097,0.1369,0.3302
6032,A0A1Q6HBY3,Periplasmic,0.0027,0.2776,0.0137,0.0067,0.0571,0.6421
6033,R5C617,Periplasmic,0.0007,0.1201,0.0509,0.0044,0.0078,0.8160
6034,R6GAB1,Periplasmic,0.0002,0.0776,0.0258,0.0021,0.0068,0.8874
6035,R5M4L6,Periplasmic,0.0002,0.0968,0.0148,0.0009,0.0103,0.8770
6036,H3SEW6,Cytoplasmic,0.0001,0.2048,0.7280,0.0132,0.0025,0.0514
6037,H1DHT9,Periplasmic,0.0024,0.1125,0.3107,0.0326,0.0198,0.5220
6038,A0A1Y4CVK1,Periplasmic,0.0016,0.0484,0.1384,0.0215,0.0164,0.7736
6039,A0A397WKX4,Periplasmic,0.0004,0.0549,0.0312,0.0011,0.0114,0.9009
6040,R5TWN6,Periplasmic,0.0006,0.1971,0.0050,0.0005,0.0109,0.7859
6041,A0A3B9G339,Cytoplasmic,0.0005,0.3728,0.4942,0.0048,0.0166,0.1110
6042,A0A087BAN3,Cytoplasmic,0.0002,0.1137,0.8767,0.0075,0.0012,0.0007
6043,A0A351YB40,Periplasmic,0.0014,0.3637,0.2222,0.0185,0.0117,0.3824
6044,R5P8Z3,Periplasmic,0.0008,0.0990,0.0994,0.0079,0.0262,0.7667
6045,R6ST15,Periplasmic,0.0018,0.0823,0.0244,0.0119,0.0649,0.8147
6046,A0A087DL22,Cytoplasmic,0.0004,0.2590,0.7183,0.0181,0.0029,0.0015
6047,A0A395YVB4,Periplasmic,0.0123,0.3301,0.0533,0.0500,0.0573,0.4969
6048,R5RXW6,Periplasmic,0.0010,0.0719,0.0317,0.0116,0.0459,0.8380
6049,R6X0U8,Periplasmic,0.0026,0.0958,0.1072,0.0236,0.0944,0.6763
6050,F5IWK8,Periplasmic,0.0059,0.1850,0.0355,0.0290,0.0747,0.6698
6051,R5I6V1,Periplasmic,0.0032,0.2605,0.1260,0.0135,0.0252,0.5716
6052,R6ZXS2,Periplasmic,0.0001,0.0882,0.0026,0.0003,0.0057,0.9031
6053,R6X821,Periplasmic,0.0062,0.1457,0.1379,0.0699,0.1369,0.5035
6054,B3DNW2,Cytoplasmic,0.0002,0.0956,0.8991,0.0036,0.0010,0.0005
6055,A0A0R0D2S5,Periplasmic,0.0000,0.2784,0.0300,0.0006,0.0054,0.6855
6056,A0A379Z4S4,Periplasmic,0.0001,0.3075,0.0290,0.0030,0.0471,0.6133
6057,A0A2N3QPP5,Cytoplasmic,0.0002,0.3477,0.6420,0.0091,0.0007,0.0003
6058,A0A239XWV1,Outer Membrane,0.0207,0.2707,0.0237,0.1265,0.3659,0.1926
6059,A0A0A7I429,Cytoplasmic,0.0002,0.1291,0.8561,0.0133,0.0008,0.0006
6060,A0A087CQ27,Cytoplasmic,0.0003,0.1843,0.8021,0.0111,0.0015,0.0007
6061,A0A087BIR9,Cytoplasmic,0.0002,0.1784,0.8131,0.0063,0.0013,0.0007
6062,A0A0F5IVV1,Periplasmic,0.0022,0.0885,0.0804,0.0609,0.0497,0.7183
6063,A0A087DDW1,Cytoplasmic,0.0005,0.2181,0.7707,0.0071,0.0024,0.0012
6064,U6RAL1,Periplasmic,0.0097,0.1569,0.0952,0.0456,0.1063,0.5863
6065,A0A069CY76,Periplasmic,0.0004,0.0884,0.3517,0.0090,0.0108,0.5397
6066,R6E4T1,Periplasmic,0.0025,0.0446,0.0421,0.0204,0.0728,0.8175
6067,A0A0R0BNU8,Periplasmic,0.0000,0.3498,0.0587,0.0014,0.0039,0.5862
6068,A0A255T7F9,Periplasmic,0.0026,0.2600,0.0396,0.0105,0.0229,0.6644
6069,F3QRV6,Periplasmic,0.0009,0.0833,0.0093,0.0027,0.0087,0.8952
6070,R5W4V0,Periplasmic,0.0040,0.0588,0.1509,0.0451,0.0816,0.6596
6071,D1PY29,Periplasmic,0.0013,0.0754,0.0127,0.0040,0.0277,0.8788
6072,A0A318MNV1,Cytoplasmic,0.0001,0.2588,0.7326,0.0053,0.0013,0.0020
6073,A0A3D1D241,Periplasmic,0.0048,0.1621,0.1338,0.0199,0.0922,0.5872
6074,A0A1Y3W5M9,Periplasmic,0.0018,0.1543,0.0797,0.0114,0.0345,0.7184
6075,R6YJB8,Periplasmic,0.0010,0.0824,0.0118,0.0008,0.0204,0.8836
6076,A0A1U7LCM2,Extracellular,0.0435,0.4718,0.1461,0.0750,0.0708,0.1927
6077,A0A087BD60,Cytoplasmic,0.0002,0.1595,0.8284,0.0101,0.0010,0.0007
6078,A0A1B2MYU0,Periplasmic,0.0001,0.3266,0.0781,0.0052,0.0184,0.5716
6079,A0A087CQR0,Cytoplasmic,0.0002,0.2394,0.7498,0.0090,0.0010,0.0007
6080,A0A0C3RDM3,Periplasmic,0.0060,0.1847,0.0063,0.0059,0.1670,0.6302
6081,R6HBG6,Cytoplasmic,0.0001,0.3463,0.6440,0.0069,0.0012,0.0015
6082,C4FD02,Cytoplasmic,0.0002,0.1942,0.7909,0.0126,0.0014,0.0008
6083,A0A1Y3W1P4,Periplasmic,0.0099,0.2070,0.0097,0.0088,0.1217,0.6429
6084,A0A1V8Q7R9,Cytoplasmic,0.0001,0.1847,0.8015,0.0126,0.0007,0.0004
6085,A0A0F5JBG3,Periplasmic,0.0007,0.0916,0.1120,0.0051,0.0166,0.7739
6086,A0A0K9YP81,Cytoplasmic,0.0016,0.2903,0.6546,0.0152,0.0063,0.0321
6087,A0A3A6IIW1,Extracellular,0.0006,0.4078,0.3967,0.0115,0.0166,0.1668
6088,A0A1U7LG52,Periplasmic,0.0095,0.1131,0.1202,0.0229,0.0721,0.6622
6089,A0A1Y3VYK1,Periplasmic,0.0203,0.2280,0.0711,0.0409,0.1301,0.5095
6090,W4N685,Cytoplasmic,0.0001,0.1731,0.8094,0.0161,0.0007,0.0006
6091,A0A095Y4X5,Periplasmic,0.0035,0.3341,0.0233,0.0179,0.0922,0.5289
6092,D1PVM5,Periplasmic,0.0018,0.3234,0.0491,0.0185,0.0351,0.5721
6093,A0A355PMR2,Extracellular,0.0003,0.4918,0.4134,0.0050,0.0069,0.0826
6094,A0A239Y0T6,Periplasmic,0.0159,0.2015,0.0783,0.0278,0.1140,0.5624
6095,R6SWS3,Periplasmic,0.0035,0.3957,0.0365,0.0197,0.0513,0.4934
6096,A0A350IGT5,Periplasmic,0.0030,0.1115,0.0615,0.0414,0.0936,0.6889
6097,J9BQE8,Periplasmic,0.0055,0.1601,0.0427,0.0121,0.0544,0.7251
6098,E6MTB6,Periplasmic,0.0056,0.3190,0.0525,0.0208,0.0890,0.5131
6099,G1WC06,Periplasmic,0.0021,0.2139,0.1129,0.0191,0.0587,0.5933
6100,A0A0C3ME31,Periplasmic,0.0110,0.1540,0.1228,0.0584,0.0557,0.5981
6101,R5IEL7,Periplasmic,0.0018,0.2036,0.0901,0.0216,0.0602,0.6227
6102,A0A161KF91,Periplasmic,0.0005,0.0569,0.2157,0.0316,0.0190,0.6764
6103,A0A085K1M6,Periplasmic,0.0002,0.0325,0.2903,0.0171,0.0210,0.6390
6104,A0A3C1Y7C8,Periplasmic,0.0005,0.0028,0.0102,0.0313,0.3185,0.6366
6105,R7PDK4,Periplasmic,0.0016,0.2004,0.0191,0.0016,0.0297,0.7476
6106,J5TQ09,Periplasmic,0.0001,0.0039,0.0230,0.0003,0.0025,0.9703
6107,F9Z658,Periplasmic,0.0010,0.0293,0.0255,0.0047,0.2416,0.6979
6108,H1DEV4,Periplasmic,0.0004,0.0115,0.0747,0.0004,0.0147,0.8983
6109,A0A077KN20,Periplasmic,0.0005,0.0041,0.0026,0.0007,0.0552,0.9369
6110,A0A1C2BY89,Periplasmic,0.0007,0.0131,0.0110,0.0096,0.2682,0.6974
6111,A0A1U7LDY3,Periplasmic,0.0112,0.1907,0.0099,0.0135,0.0923,0.6825
6112,A0A1A7KKR0,Periplasmic,0.0007,0.0053,0.0043,0.0009,0.2117,0.7770
6113,R5GUD1,Periplasmic,0.0012,0.0929,0.1809,0.0047,0.0176,0.7027
6114,A0A352HR43,Periplasmic,0.0001,0.0057,0.0032,0.0012,0.0291,0.9607
6115,A0A316SPP4,Outer Membrane,0.0012,0.0348,0.0028,0.0447,0.5375,0.3791
6116,A0A3D3U573,Cytoplasmic,0.0069,0.2886,0.4591,0.0079,0.1171,0.1203
6117,R5IKY6,Periplasmic,0.0002,0.0170,0.0060,0.0002,0.0042,0.9724
6118,R5P9Z1,Outer Membrane,0.0015,0.0397,0.0301,0.0153,0.6222,0.2912
6119,A0A0F5JL31,Periplasmic,0.0170,0.2102,0.0291,0.0122,0.0639,0.6676
6120,A0A374V5Z2,Periplasmic,0.0046,0.2439,0.0262,0.0118,0.0695,0.6440
6121,A0A2L2WRW4,Periplasmic,0.0004,0.1003,0.0214,0.0007,0.0142,0.8631
6122,A0A1G7IUY5,Periplasmic,0.0007,0.0052,0.0074,0.0016,0.2467,0.7383
6123,A0A379Z3L1,Periplasmic,0.0000,0.0287,0.0195,0.0004,0.0014,0.9499
6124,F5IXR9,Outer Membrane,0.0005,0.0043,0.0073,0.0189,0.9090,0.0600
6125,A0A0D0G262,Cytoplasmic,0.0045,0.0256,0.9385,0.0215,0.0045,0.0054
6126,A0A0S4IA12,Cytoplasmic,0.0000,0.0154,0.9552,0.0003,0.0001,0.0290
6127,A0A117I015,Cytoplasmic,0.0009,0.0722,0.9155,0.0040,0.0010,0.0065
6128,W4ARN7,Cytoplasmic,0.0002,0.0093,0.9823,0.0035,0.0008,0.0039
6129,A0A090ZN36,Cytoplasmic,0.0005,0.0209,0.9518,0.0014,0.0010,0.0244
6130,A0A2V2EBB8,Cytoplasmic,0.0012,0.0860,0.8830,0.0111,0.0115,0.0072
6131,A0A1R1II19,Periplasmic,0.0014,0.0399,0.1537,0.0060,0.0152,0.7838
6132,A0A1G5FLD3,Cytoplasmic,0.0003,0.0608,0.9284,0.0022,0.0006,0.0078
6133,R5B0D0,Periplasmic,0.0001,0.0039,0.0079,0.0007,0.0145,0.9729
6134,R5ZUK3,Periplasmic,0.0009,0.1884,0.0115,0.0017,0.0354,0.7621
6135,A0A1G5GXD1,Cytoplasmic,0.0002,0.0158,0.9745,0.0058,0.0005,0.0033
6136,A0A1D3UW79,Periplasmic,0.0009,0.0047,0.0202,0.0018,0.0544,0.9180
6137,A0A2V1ISN2,Periplasmic,0.0019,0.0116,0.1328,0.0149,0.3123,0.5265
6138,R5AUN5,Periplasmic,0.0006,0.0047,0.0045,0.0087,0.3695,0.6120
6139,A0A1N7D1N2,Cytoplasmic,0.0017,0.0482,0.9225,0.0228,0.0023,0.0024
6140,A0A2S7N489,Cytoplasmic,0.0018,0.0221,0.9595,0.0130,0.0012,0.0023
6141,A0A2V2EE09,Cytoplasmic,0.0040,0.1314,0.7178,0.0109,0.0828,0.0532
6142,R7HLK7,Periplasmic,0.0006,0.0094,0.0031,0.0004,0.0260,0.9605
6143,A0A353A2K7,Periplasmic,0.0013,0.2587,0.0165,0.0025,0.0218,0.6992
6144,A0A0F5IKI6,Periplasmic,0.0006,0.0178,0.0058,0.0116,0.4393,0.5249
6145,A0A1Q6F8E6,Periplasmic,0.0005,0.0058,0.0133,0.0082,0.1330,0.8391
6146,R6X551,Outer Membrane,0.0015,0.0140,0.0092,0.0440,0.4752,0.4561
6147,W0EVB3,Periplasmic,0.0005,0.0153,0.0165,0.0027,0.0799,0.8852
6148,A0A0A2F6S6,Periplasmic,0.0004,0.0892,0.0090,0.0029,0.0134,0.8851
